cfips,p,q,d,testset_smaller_smape
1001,3,2,2,1.8787647027468808
1011,2,3,3,0.1218754772342489
1017,1,1,2,2.261579294060969
1019,1,2,2,0.9320410635266904
1021,2,2,3,1.2180974333466053
1063,3,3,2,0.9598786520366208
1065,2,2,3,0.9591416488566632
1067,3,3,1,0.6830629840662679
1069,1,3,2,0.9882832088575024
1071,3,2,2,0.8293086833468511
1081,2,3,3,0.3558935036313239
1083,1,1,3,0.9438110689807804
1105,3,3,1,1.2910392235607435
1117,3,3,3,0.4281691481745999
1129,2,1,2,3.093608725979685
2020,1,2,2,0.1606331445051089
2068,3,3,1,0.6509899584161256
2070,2,1,1,0.6699546027575273
2100,2,3,1,0.6894699560018018
2122,2,2,3,0.6407643376495107
2130,1,2,3,0.5372082799920077
2150,3,1,3,0.6975651180468324
2164,1,1,1,1.4085774333714522
2198,3,1,1,0.4260429302520548
2230,1,2,1,0.664596803341125
2240,3,1,2,2.1194767530554914
2275,1,1,3,13.945345295564117
2290,2,3,3,0.7587231240958041
4012,3,1,3,1.1333873609818317
4019,2,3,2,0.2665943684186445
4027,3,3,3,0.3963543466681335
5001,2,2,3,0.888758145590993
5005,2,1,1,0.1723724503471894
5007,1,3,3,0.0577866560947509
5015,3,3,1,0.6773465291393073
5017,3,3,1,2.4222277480619416
5019,1,3,1,2.236299134391886
5033,2,3,3,0.618986016119697
5043,3,3,2,1.409078979276555
5059,1,3,1,1.798559520546284
5063,2,3,2,5.961207177962023
5073,1,3,3,1.438559506027117
5075,1,3,3,0.8233793396991804
5105,3,1,2,1.8431088951802963
5111,3,3,2,0.9139799849764392
5113,2,3,1,1.4055968301907096
5121,2,3,1,0.4235300964882024
5123,1,2,2,1.9256568477121856
5137,1,2,3,1.271173452392876
5141,1,3,1,0.5032586571457172
5143,3,3,3,0.49110243479087
5145,2,1,1,3.4452006517700577
6023,1,2,2,0.2909419568675297
6037,3,3,3,0.2979947605805484
6045,2,1,3,0.7394944546095938
6051,2,2,3,1.9492293109213952
6061,2,3,2,0.2238413420201278
6063,1,1,1,1.5506628421515738
6087,2,1,2,4.805771903549856
6095,1,3,1,1.6129761877801907
6101,3,3,2,0.4833681550134996
6107,3,3,3,0.3848931953088874
6109,3,2,1,0.248641766220053
6111,3,2,3,0.1928937475025613
8007,2,1,3,0.581328741135707
8009,1,2,1,0.5821226999156505
8019,2,1,1,0.7319897583035171
8027,2,1,3,1.2018006249167292
8031,1,2,2,1.341732338713551
8037,2,3,1,1.0488936350642537
8047,2,3,3,6.770321603773287
8049,3,1,3,0.4268199846632927
8061,3,3,2,2.148220109972136
8069,3,3,1,0.4429509230703791
8071,3,1,3,0.6328255021461074
8079,1,3,2,1.4314686222162567
8085,3,1,3,0.4573369756695398
8089,1,3,2,1.268403406269052
8091,1,3,2,0.6015934699685082
8103,1,1,2,0.8057675532074389
8107,3,2,1,1.3629858650384832
8109,2,1,2,0.1525854893783835
8123,2,1,3,0.3736562444593101
9007,2,3,3,0.1148781494571117
9009,1,1,3,0.3032634732073181
9011,3,3,3,0.3518044453452837
10003,2,1,2,2.880097135014521
10005,1,1,3,0.7499391131043244
12003,1,3,2,0.8074817637974435
12005,3,3,2,0.9665447782332024
12019,1,1,2,0.3397221424155733
12027,1,3,3,1.6040194566824768
12031,2,3,2,0.4472261598088523
12035,3,3,3,0.4746688888637693
12041,3,1,3,0.2518519755191311
12049,3,3,2,0.968992220879926
12051,1,3,2,0.708570893317568
12055,3,2,2,1.3568663274231565
12061,1,2,3,0.4557774746183675
12063,2,2,3,2.039182324012888
12069,3,3,1,0.6661602113202891
12079,3,2,3,3.3993408368014504
12086,3,1,2,1.5482891504968983
12087,2,3,2,0.2284775597470275
12093,2,3,2,0.7796421046045441
12097,3,3,3,0.5320906733603842
12099,2,2,1,1.2384906016670325
12101,3,3,1,0.293072488686299
12107,1,2,1,0.5798284856531755
12111,3,2,1,0.2842481201859916
12123,3,2,3,5.249020234224322
12133,1,2,3,0.638661315467707
13001,1,3,3,1.033221816263466
13007,2,1,1,1.490068914029439
13011,1,2,2,1.1447850156011918
13013,3,3,1,0.4285157582217254
13015,2,1,3,0.3197954918913235
13023,2,1,1,1.79629848691946
13031,3,2,3,0.5303102068462091
13047,1,2,3,0.8766480887069075
13049,1,3,3,1.8449719468223895
13055,1,2,2,1.5572683235772635
13057,1,3,1,0.2168037690048555
13059,2,3,2,0.9777285422608362
13061,3,3,1,2.46927257908613
13067,3,2,3,2.439944587952632
13071,3,2,1,0.6284890081269725
13079,1,1,3,2.1305380855513696
13081,3,3,3,1.5159083520523728
13083,2,3,1,0.8219172533322753
13089,1,2,2,0.9521225943386042
13099,1,3,1,2.2505890593322477
13101,1,1,2,0.0
13103,3,2,3,0.6150625878117293
13105,2,2,1,1.062156771145785
13111,3,1,1,0.3802271779632261
13117,3,3,2,0.9589178799431524
13119,3,1,1,0.8077270446747186
13121,3,3,2,0.4754975313414377
13123,2,3,2,0.3304853927751038
13127,2,3,3,0.4902030213127972
13137,1,2,3,1.3310490675459898
13141,2,2,1,1.1840308884721311
13149,1,2,2,6.46560245017991
13153,3,2,1,0.5381660418672839
13157,3,1,3,0.3125045998949292
13169,1,2,1,1.422172414196888
13173,2,2,2,1.6321044797342028
13177,3,3,1,1.075184713818398
13181,2,2,2,1.0996934304079684
13183,3,1,3,1.4319315983575436
13197,3,1,3,0.9203698884329048
13207,2,2,2,0.5034664560797958
13209,1,2,2,0.6655081791953814
13213,1,1,3,1.0683049027619211
13221,2,3,3,0.9744563587255132
13233,2,1,3,0.5291019716405962
13243,2,2,3,1.3533743063226256
13245,2,3,2,0.7931643023426518
13253,2,1,2,2.1848460640003404
13261,2,3,2,0.4712079344684016
13263,3,3,2,2.308407826323512
13273,2,3,2,1.6371712538860592
13275,1,3,3,0.8940175660246066
13277,3,1,2,0.542813488564005
13281,2,1,2,1.1189873613468395
13285,1,3,1,0.7318255962469054
13287,1,1,3,0.8478916338114842
13289,1,3,2,0.66059488621075
13293,1,1,1,2.062829831052114
13297,3,3,1,0.4490732714484753
13301,2,1,2,0.9103459244989602
13307,1,3,1,0.0074778622580342
13309,1,3,2,1.525309413059149
13311,2,3,1,0.8706257509611015
15001,2,1,2,0.5011386588406879
15005,2,1,2,27.45483757448915
16007,3,2,2,0.695192407169887
16013,2,2,3,0.1975695495759286
16019,1,3,1,0.3044514344383774
16035,1,2,1,0.637769071819019
16039,3,1,1,3.2042130754321088
16047,3,1,3,0.6338936639308002
16049,2,3,3,0.5942875932878544
16051,3,3,1,0.6734007114309505
16063,1,1,3,1.657529252012466
16067,3,3,2,0.2771418930160628
16069,1,1,2,0.4552703370647863
16081,3,1,1,0.2782352560135899
17005,1,3,2,0.5861154017616144
17007,3,3,1,1.6968658007602124
17015,3,1,1,0.2129113019732509
17017,2,1,2,1.0680533668311325
17025,2,1,2,2.3042098244195945
17037,1,3,3,0.9807417084121648
17047,3,2,3,2.0733495443419363
17057,2,3,2,0.8186886898807878
17065,1,2,2,0.6078446777342656
17069,3,1,3,2.1950823831592325
17075,2,1,1,4.298783858524375
17077,1,1,1,0.6222700077440736
17093,2,3,1,0.3254383676485984
17099,1,3,3,0.4408483259511588
17101,3,2,1,2.0097627668419693
17103,3,1,1,0.2322709933160394
17105,1,3,3,0.2207389614651459
17107,3,2,1,0.5051197393361684
17109,3,1,1,0.3817192929440888
17115,1,2,2,0.7210332941506528
17117,2,2,1,0.4970378285779135
17121,2,1,2,0.6088859100523085
17123,3,1,2,0.7599799050353082
17127,1,3,2,1.6710055338622667
17143,1,2,1,0.4523374970538962
17147,1,1,1,0.3478422263249882
17153,1,1,3,1.9724786711731883
17157,1,2,1,0.6240122903445129
17167,1,3,2,0.1826734931738997
17169,3,3,2,1.2824771708866538
17173,3,1,3,0.2452568977889852
17191,3,3,1,1.2935661190449872
17197,1,1,2,0.3670131143481684
17203,2,1,3,2.512227799546354
18007,2,2,2,5.888603969627591
18009,1,2,2,1.2307640126228567
18013,1,2,3,0.5521895239178302
18017,2,2,3,0.5639110289533638
18019,2,1,1,0.7775756927008788
18021,3,2,1,0.1417909558779455
18025,1,2,1,2.834749571192588
18029,2,1,1,0.5747955138034541
18033,2,2,1,0.6562160591786064
18039,3,1,2,0.6227281541049022
18041,1,2,2,0.6105203730857768
18047,3,1,3,1.2235315112536775
18053,2,1,2,0.5131650530071168
18055,2,3,3,0.6002067786206112
18065,1,3,3,0.525062040156088
18069,1,3,1,1.0133674654650708
18083,2,1,2,0.1983269501971345
18085,1,1,2,0.2162108130652111
18087,1,3,3,0.6061365813329935
18111,3,1,3,0.5139048983477631
