first_day_of_month,cpi_monthly,treasury10y
2019-08-01,0.1,2.007
2019-09-01,0.2,1.499
2019-10-01,0.3,1.668
2019-11-01,0.2,1.688
2019-12-01,0.2,1.774
2020-01-01,0.2,1.919
2020-02-01,0.1,1.505
2020-03-01,-0.3,1.163
2020-04-01,-0.8,0.668
2020-05-01,-0.1,0.646
2020-06-01,0.5,0.653
2020-07-01,0.5,0.658
2020-08-01,0.4,0.533
2020-09-01,0.2,0.706
2020-10-01,0.1,0.686
2020-11-01,0.1,0.874
2020-12-01,0.3,0.842
2021-01-01,0.2,0.916
2021-02-01,0.4,1.071
2021-03-01,0.6,1.407
2021-04-01,0.6,1.744
2021-05-01,0.7,1.626
2021-06-01,0.9,1.581
2021-07-01,0.5,1.468
2021-08-01,0.3,1.226
2021-09-01,0.4,1.307
2021-10-01,0.9,1.492
2021-11-01,0.7,1.561
2021-12-01,0.6,1.456
2022-01-01,0.6,1.512
2022-02-01,0.8,1.784
2022-03-01,1.2,1.822
2022-04-01,0.3,2.345
2022-05-01,1.0,2.938
2022-06-01,1.3,2.849
2022-07-01,0.0,3.017
2022-08-01,0.2,2.658
2022-09-01,0.4,3.196
2022-10-01,0.5,3.829
2022-11-01,0.2,4.052
2022-12-01,0.1,3.527
